,Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available,ID,Station,Elev (feet),Latitude,Longitude,County,River Basin,Sensor,PE Code,Description,Units
46,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),FROM 15-MINUTE DATA,10/01/1985 to present,BCH,BEACH MEADOWS,7650,36.126095,-118.293457,TULARE,KERN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
47,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-USACE SAC,02/01/1995 to present,BAR,BEAR,319,37.367,-120.217,MARIPOSA,MERCED R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
48,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/10/1992 to present,BRP,BEAR PEAK,8228,35.884,-118.052,TULARE,KERN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
49,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BRE,BEAR R AT ROLLINS RESERVOIR,1945,39.133,-120.953,PLACER,BEAR R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
50,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,07/01/2012 to present,CFW,BEAR RIVER AT CAMP FAR WEST DAM,260,39.05,-121.317,YUBA,BEAR R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
51,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BRM,BEAR TRAP MEADOW,6800,36.676,-118.858,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
52,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-USACE SAC,12/06/1988 to present,BRM,BEAR TRAP MEADOW,6800,36.676,-118.858,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
53,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,01/01/1935 to present,BRM,BEAR TRAP MEADOW,6800,36.676,-118.858,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
54,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/01/1994 to present,BEC,BELL CANYON,750,33.5517,-117.5731,ORANGE,SANTA ANA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
55,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1984 to present,BLT,BEN BOLT,1138,38.586,-121.017,EL DORADO,COSUMNES R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
56,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2015 to present,BLN,BEN LOMOND,365,37.093,-122.075,SANTA CRUZ,SAN LORENZO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
57,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2015 to present,BLO,BEN LOMOND (CDF),2630,37.132,-122.17,SANTA CRUZ,SAN LORENZO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
58,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,11/26/2001 to present,BLO,BEN LOMOND (CDF),2630,37.132,-122.17,SANTA CRUZ,SAN LORENZO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
59,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1995 to present,BTN,BENTON,5450,37.843,-118.478,MONO,OWENS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
60,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2009 to present,BHL,BEVERLY HILLS,1260,34.125,-118.42,LOS ANGELES,LOS ANGELES R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
61,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,12/04/1989 to present,BHL,BEVERLY HILLS,1260,34.125,-118.42,LOS ANGELES,LOS ANGELES R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
62,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2005 to present,BGB,BIG BAR,1270,40.733,-123.2,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
63,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/13/1990 to present,BGB,BIG BAR,1270,40.733,-123.2,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
64,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1913 to present,BGB,BIG BAR,1270,40.733,-123.2,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
65,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1983 to present,BGC,BIG CREEK 1,4878,37.205,-119.24,FRESNO,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
66,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BDD,BIG DALTON DAM,1587,34.17,-117.808,LOS ANGELES,SAN GABRIEL R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
67,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1929 to 09/01/1995,BDD,BIG DALTON DAM,1587,34.17,-117.808,LOS ANGELES,SAN GABRIEL R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
68,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2002 to present,BFL,BIG FLAT,5100,41.08,-122.942,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
69,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,10/01/1985 to present,BFL,BIG FLAT,5100,41.08,-122.942,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
70,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),DATA XCHG-SMUD,11/29/2018 to present,BHS,BIG HILL MET STATION,6135,38.841667,-120.407501,EL DORADO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
71,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-SMUD,10/01/2018 to 11/29/2018,BHS,BIG HILL MET STATION,6135,38.841667,-120.407501,EL DORADO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
72,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2002 to present,BIM,BIG MEADOWS (DWR),7600,36.715366,-118.84343,TULARE,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
73,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,09/05/2018 to present,BIM,BIG MEADOWS (DWR),7600,36.715366,-118.84343,TULARE,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
74,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),FROM 15-MINUTE DATA,10/01/1985 to present,BIM,BIG MEADOWS (DWR),7600,36.715366,-118.84343,TULARE,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
75,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-NRCS,10/01/1999 to present,BMW,BIG MEADOWS (SCS),8700,39.458,-119.946,State of Nevada,TRUCKEE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
76,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),DATA XCHG-NRCS,01/02/1986 to 08/05/1999,BMW,BIG MEADOWS (SCS),8700,39.458,-119.946,State of Nevada,TRUCKEE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
77,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,04/08/2002 to present,BPF,BIG PINE FLAT,6861,34.319,-117.013,SAN BERNARDINO,SANTA ANA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
78,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,02/14/2003 to present,BPI,BIG PINES,3917,34.379,-117.692,LOS ANGELES,ANTELOPE VALLEY,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
79,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,09/11/2019 to 09/11/2019,BSH,BISHOP PASS,11200,37.1,-118.557,FRESNO,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
80,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-USACE SAC,12/06/1988 to present,BLB,BLACK BUTTE,426,39.808,-122.329,TEHAMA,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
81,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,04/28/1997 to present,BKD,BLACK DIAMOND MINES,1600,37.95,-121.884,CONTRA COSTA,EAST BAY,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
82,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BLM,BLACK MOUNTAIN,3625,35.395,-120.353,SAN LUIS OBISPO,SALINAS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
83,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BLS,BLACK SPRINGS,6500,38.375,-120.192,CALAVERAS,STANISLAUS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
84,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,09/07/2000 to present,BKK,BLACKROCK,8200,36.093,-118.261,TULARE,KERN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
85,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2002 to present,BLA,BLACKS MOUNTAIN,7050,40.769836,-121.199722,LASSEN,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
86,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,10/23/1987 to present,BLA,BLACKS MOUNTAIN,7050,40.769836,-121.199722,LASSEN,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
87,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BLD,BLOODS CREEK,7200,38.45,-120.033,ALPINE,STANISLAUS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
88,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),ALERT,12/17/1994 to 07/20/1998,BLD,BLOODS CREEK,7200,38.45,-120.033,ALPINE,STANISLAUS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
89,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BLC,BLUE CANYON,5280,39.28011,-120.70871,PLACER,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
90,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1940 to present,BLC,BLUE CANYON,5280,39.28011,-120.70871,PLACER,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
91,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1995 to 02/28/2022,BYM,BLUE CANYON (DWR-2),5280,39.283,-120.7,PLACER,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
92,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/10/1992 to present,BDR,BLUE DOOR,5900,41.056,-120.336,LASSEN,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
93,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-NRCS,07/08/1999 to present,BLK,BLUE LAKES,8000,38.613,-119.931,ALPINE,MOKELUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
94,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),DATA XCHG-NRCS,01/02/1986 to 08/05/1999,BLK,BLUE LAKES,8000,38.613,-119.931,ALPINE,MOKELUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
95,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/23/1990 to 01/20/1997,BOC,BOCA RESERVOIR,5521,39.383,-120.1,NEVADA,TRUCKEE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
96,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/01/1994 to present,BGD,BOGARD RANGER STATION,5680,40.59,-121.08,LASSEN,SUSAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
97,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BNK,BONANZA KING,6450,41.083,-122.628,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
98,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),ALERT,12/17/1994 to 09/09/1998,BNK,BONANZA KING,6450,41.083,-122.628,TRINITY,TRINITY R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
99,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,12/31/1987 to present,BNV,BOONVILLE,840,38.9875,-123.3486,MENDOCINO,NAVARRO RIVER,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
